runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_71372_b_85091_d_27,1367108,1,1,t_6083033_b_85091_tn_0,4249049,t_6083035_b_85091_tn_0,4248690
1000000,c_71372_b_85091_d_31,1360368,10,1,t_6064906_b_85091_tn_1,3460598,t_6064905_b_85091_tn_2,3460598
1100000,c_71372_b_85091_d_31,1360384,11,1,t_6080121_b_85091_tn_0,3460598,t_6064944_b_85091_tn_0,3460598
1200000,c_71372_b_85091_d_31,1360385,12,1,t_6080124_b_85091_tn_0,3460598,t_6065108_b_85091_tn_0,3460598
1300000,c_71372_b_85091_d_31,177516,13,1,t_6064929_b_85091_tn_0,3460598,t_6064927_b_85091_tn_0,3460598
1400000,c_71372_b_85091_d_31,177517,14,1,t_6064981_b_85091_tn_0,3460598,t_6064997_b_85091_tn_0,3460598
1500000,c_71372_b_85091_d_31,177518,15,1,t_6064961_b_85091_tn_0,3460598,t_6065001_b_85091_tn_0,3460598
1600000,c_71372_b_85091_d_31,177519,16,1,t_6064983_b_85091_tn_0,3460598,t_6064973_b_85091_tn_0,3460598
1700000,c_71372_b_85091_d_31,177520,17,1,t_6064946_b_85091_tn_0,3460598,t_6065022_b_85091_tn_0,3460598
1800000,c_71372_b_85091_d_96,1360364,18,1,t_6064960_b_85091_tn_0,3460598,t_6064955_b_85091_tn_0,3460598
1900000,c_71372_b_85091_d_96,1360365,19,1,t_6064970_b_85091_tn_0,3460598,t_6064935_b_85091_tn_0,3460598
200000,c_71372_b_85091_d_27,1367109,2,1,t_6083039_b_85091_tn_0,4248690,t_6083040_b_85091_tn_0,4249049
2000000,c_71372_b_85091_d_96,1360366,20,1,t_6064908_b_85091_tn_1,3460598,t_6064908_b_85091_tn_9,3460598
2100000,c_71372_b_85091_d_96,1360367,21,1,t_6064913_b_85091_tn_0,3460598,t_6064911_b_85091_tn_0,3460598
2200000,c_71372_b_85091_d_96,1360368,22,1,t_6064991_b_85091_tn_0,3460598,t_6065013_b_85091_tn_0,3460598
300000,c_71372_b_85091_d_31,1360351,3,1,t_6065004_b_85091_tn_0,3460598,t_6065006_b_85091_tn_0,3460598
400000,c_71372_b_85091_d_31,1360354,4,1,t_6064950_b_85091_tn_0,3460598,t_6065003_b_85091_tn_0,3460598
500000,c_71372_b_85091_d_31,1360355,5,1,t_6064990_b_85091_tn_0,3460598,t_6065009_b_85091_tn_0,3460598
600000,c_71372_b_85091_d_31,1360356,6,1,t_6064988_b_85091_tn_0,3460598,t_6065008_b_85091_tn_0,3460598
700000,c_71372_b_85091_d_31,1360358,7,1,t_6065025_b_85091_tn_0,3460598,t_6065027_b_85091_tn_0,3460598
800000,c_71372_b_85091_d_31,1360359,8,1,t_6064917_b_85091_tn_1,3460598,t_6064915_b_85091_tn_3,3460598
900000,c_71372_b_85091_d_31,1360360,9,1,t_6064916_b_85091_tn_1,3460598,t_6064914_b_85091_tn_3,3460598
