stop_id,stop_city
3460590,Chehalis
3460605,Fords Prairie
3460571,Chehalis
3460582,Centralia
3460586,Fords Prairie
3460623,Centralia
3460595,Centralia
3460589,Centralia
4251926,Centralia
4256772,Centralia
3460560,Chehalis
3460618,Centralia
3460614,Centralia
3460581,Chehalis
3463432,Olympia
3460619,Centralia
3460617,Chehalis
4251924,Centralia
3460613,Centralia
4251931,Fords Prairie
3460604,Centralia
3460599,Centralia
3460598,Centralia
4251930,Centralia
4206796,Grand Mound
3460572,Centralia
4256774,Centralia
3460626,Centralia
4251932,Chehalis
3460578,Chehalis
3460563,Centralia
3460620,Fords Prairie
3460610,Centralia
3460607,Centralia
3460615,Chehalis
3460593,Centralia
3460602,Chehalis
3460606,Centralia
3460573,Chehalis
3460588,Olympia
3460556,Centralia
3460622,Fords Prairie
3460575,Centralia
3460577,Chehalis
3460576,Centralia
3460587,Chehalis
3460616,Chehalis
3460625,Centralia
3463430,Centralia
3460601,Chehalis
3460609,Centralia
3460567,Tumwater
3460603,Chehalis
3460611,Centralia
3460596,Centralia
3460580,Centralia
3460558,Centralia
3460564,Centralia
3460624,Chehalis
3460597,Chehalis
3460631,Chehalis
3460600,Chehalis
3460630,Centralia
3460632,Chehalis
3460627,Chehalis
3460565,Chehalis
3460574,Centralia
3460608,Centralia
4253114,Centralia
3460621,Centralia
4256773,Centralia
4251927,Centralia
3460628,Centralia
3460592,Chehalis
3460579,Chehalis
3460570,Centralia
4148019,Castle Rock
3460612,Centralia
4148020,Winlock
4251929,Centralia
3460591,Chehalis
3460629,Chehalis
4251925,Centralia
3460561,Centralia
3460594,Centralia
3460559,Centralia
3460557,Centralia
