stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
3460556,,,Yew St. & W Pear St.,,46.715599,-122.967995,,,0,,America/Los_Angeles,,,0,
3460557,,,Yew St. & Chestnut St. - 703 Yew St,Yew St. & Chestnut St.,46.71258,-122.969469,,,0,,America/Los_Angeles,,,0,
3460558,,,West Outlets South Entrance - 1301 Lum Road,,46.7309,-122.977616,,,0,,America/Los_Angeles,,,0,
3460559,,,Washington Elementary- 123 E Hickory St.,,46.708548,-122.955245,,,0,,America/Los_Angeles,,,0,
3460560,,,Walmart North Side - NW Arkansas Way,,46.679691482823564,-122.97786166700499,,,0,,America/Los_Angeles,,,0,
3460561,,,W. Main & S. Silver St.,,46.716717,-122.957232,,,0,,America/Los_Angeles,,,0,
3460563,,,Villa San Juan Bautista- 2613 Cooks Hill Rd.,,46.713839,-122.999043,,,0,,America/Los_Angeles,,,0,
3460564,,,Valley View Dental - 711 Harrison Ave.,,46.724555,-122.972646,,,0,,America/Los_Angeles,,,0,
3460565,,,Valley View- 1810 S Gold St.,,46.694086,-122.957345,,,0,,America/Los_Angeles,,,0,
3460567,,,Tumwater Transit Hub - L&I Bldg. 7273 Linderson Way SW,,46.98298,-122.920635,,,0,,America/Los_Angeles,,,0,
3460568,,,Sturdevant Rd. & Chase Rd. - 181 Sturdevant Rd.,,46.63420442599892,-122.93193966922084,,,0,,America/Los_Angeles,,,0,
3460569,,,Sturdevant Rd. & Bishop Rd. - 101 Sturdevant Rd.,,46.63218284336664,-122.93757535192792,,,0,,America/Los_Angeles,,,0,
3460570,,,Stillwaters Ave. & Colonial Dr.,,46.712063,-123.001088,,,0,,America/Los_Angeles,,,0,
3460571,,,Steck Medical - 1339 Bishop Rd.,,46.6402,-122.941725,,,0,,America/Los_Angeles,,,0,
3460572,,,Social Security Office- 1821 Cooks Hill Rd.,,46.713828,-122.985145,,,0,,America/Los_Angeles,,,0,
3460573,,,Shaw Learning Campus - 1225 Bishop Rd.,,46.642144,-122.941656,,,0,,America/Los_Angeles,,,0,
3460574,,,Scheuber Rd. North & Borst Ave.,,46.727135,-122.992755,,,0,,America/Los_Angeles,,,0,
3460575,,,S Tower Ave. & W Cherry St.,,46.712034,-122.955861,,,0,,America/Los_Angeles,,,0,
3460576,,,S Silver St. & W Cherry St.,,46.711615,-122.958372,,,0,,America/Los_Angeles,,,0,
3460577,,,S Market Blvd. & SW 6th St.,625 S Market Blvd.,46.657778,-122.958725,,,0,,America/Los_Angeles,,,0,
3460578,,,S Market Blvd. & SW 1st St. - 21 S Market Blvd.,,46.661308,-122.963721,,,0,,America/Los_Angeles,,,0,
3460579,,,S Market Blvd. & 3rd St.,,46.659674,-122.961199,,,0,,America/Los_Angeles,,,0,
3460580,,,S Gold St. & E Union St. - 1321 S Gold St.,,46.701849,-122.957135,,,0,,America/Los_Angeles,,,0,
3460581,,,Providence Medical - 931 S Market Blvd.,,46.655692,-122.95595,,,0,,America/Los_Angeles,,,0,
3460582,,,Providence Hospital North Entrance - 1820 Cooks Hill Rd.,,46.713721,-122.985381,,,0,,America/Los_Angeles,,,0,
3460583,,,Port of Chehalis 3 - 344 Maurin Rd.,,46.626831,-122.910224,,,0,,America/Los_Angeles,,,0,
